market,country,region,market_class,T,rw_pct,mr_pct,exp_pct,c1,c2,beta_mr,se_mr,sig_mr,beta_ex,se_ex,sig_ex,dc_exp,gfc_mr,covid_mr,current_cci,current_regime,verdict
jkse,Indonesia,SE Asia,EM,433,84.98845265588915,5.080831408775981,9.930715935334874,97.8,101.28444444444445,-0.0043438613857462,0.0314843895927838,,-0.2593522774104508,0.0850614165198507,***,92.3,100.0,0.0,97.552,MR,BOTH TAILS
aex,Netherlands,W. Europe,DM,403,84.61538461538461,5.459057071960298,9.925558312655088,97.79949494949494,101.38292929292928,0.0313528855532984,0.0405326450566668,,-0.1110957954186768,0.0456156372341158,**,87.2,100.0,0.0,97.552,MR,BOTH TAILS
merval,Argentina,Latin America,Frontier,355,82.53521126760563,5.070422535211268,12.394366197183098,97.74525252525252,101.25333333333332,0.0303231365381514,0.0138587199397806,**,-0.1801484033345829,0.0800923002183836,**,94.9,85.7,0.0,97.552,MR,BOTH TAILS
set,Thailand,SE Asia,EM,353,82.43626062322946,5.099150141643059,12.464589235127479,97.73929292929292,101.25666666666666,0.0300927825991407,0.0384677781226528,,-0.1855636009334934,0.0825115628206551,**,94.9,85.7,0.0,97.552,MR,BOTH TAILS
hscei,Hong Kong (H-shr),Asia Pacific,EM,394,82.23350253807106,6.598984771573605,11.16751269035533,98.01444444444444,101.26333333333334,-0.246830341021331,0.0962663120431107,**,-0.1333005591710699,0.0659393483066864,**,94.9,100.0,0.0,97.552,MR,BOTH TAILS
lq45,Indonesia (LQ45),SE Asia,EM,351,80.91168091168092,7.122507122507122,11.965811965811966,97.88444444444444,101.329898989899,-0.0098154711688769,0.0418471996737339,,-0.3412159207520224,0.1049426282716141,***,89.7,100.0,0.0,97.552,MR,BOTH TAILS
ipc,Mexico,Latin America,EM,414,70.28985507246377,27.053140096618357,2.657004830917874,99.26666666666668,102.0111111111111,-0.0202512885389594,0.0073699196967423,***,-0.8274089043415885,0.2481512413354985,***,28.2,100.0,66.7,97.552,MR,BOTH TAILS
kospi,South Korea,Asia Pacific,EM,353,69.12181303116147,18.413597733711047,12.464589235127479,98.73333333333332,101.25666666666666,0.0584492755496231,0.0292189344571165,**,-0.0890223853782475,0.061943471626161,,94.9,100.0,33.3,97.552,MR,BOTH TAILS
szse,China (SZSE),China,EM,345,57.391304347826086,37.391304347826086,5.217391304347826,99.46666666666668,101.76666666666668,-0.0981492387605134,0.0382809490318784,**,-0.4739857590144913,0.1803741415537307,***,46.2,100.0,66.7,97.552,MR,BOTH TAILS
psei,Philippines,SE Asia,EM,436,53.899082568807344,44.95412844036697,1.146788990825688,100.15666666666668,102.21888888888888,-0.0198347787444133,0.0075721001708889,***,-0.3253905865307238,0.2889392908782797,,12.8,100.0,66.7,97.552,MR,BOTH TAILS
shanghai,China (SSE),China,EM,346,52.02312138728323,46.82080924855491,1.1560693641618496,100.16666666666669,102.23666666666666,-0.0626399838119351,0.0213050447066692,***,-0.3605448530204857,0.094852971784811,***,10.3,100.0,66.7,97.552,MR,BOTH TAILS
bovespa,Brazil,Latin America,EM,397,50.377833753148614,49.622166246851386,0.0,100.44444444444446,102.429898989899,-0.0506131524358544,0.0036710597395668,***,0.0,,,0.0,100.0,100.0,97.552,MR,FEAR GAUGE
nikkei225,Japan,Japan,DM,436,33.715596330275226,5.73394495412844,60.550458715596335,97.88111111111112,99.87222222222222,0.0489131470322287,0.0289145321162566,*,-0.0350646605512207,0.0120111004322066,***,100.0,100.0,0.0,97.552,MR,BOTH TAILS
