date,bci
2011-06-30,100.6315
2011-07-31,100.4028
2011-08-31,100.204
2011-09-30,100.0286
2011-10-31,99.87988
2011-11-30,99.81567
2011-12-31,99.83974
2012-01-31,99.93383
2012-02-29,100.0279
2012-03-31,100.0608
2012-04-30,100.0008
2012-05-31,99.83524
2012-06-30,99.65999
2012-07-31,99.55843
2012-08-31,99.50045
2012-09-30,99.4583
2012-10-31,99.3902
2012-11-30,99.36813
2012-12-31,99.44218
2013-01-31,99.57442
2013-02-28,99.68904
2013-03-31,99.70373
2013-04-30,99.66992
2013-05-31,99.71605
2013-06-30,99.86392
2013-07-31,100.0647
2013-08-31,100.2661
2013-09-30,100.3926
2013-10-31,100.4372
2013-11-30,100.4548
2013-12-31,100.4243
2014-01-31,100.3715
2014-02-28,100.408
2014-03-31,100.4832
2014-04-30,100.545
2014-05-31,100.5571
2014-06-30,100.5444
2014-07-31,100.5518
2014-08-31,100.5698
2014-09-30,100.5437
2014-10-31,100.5339
2014-11-30,100.4733
2014-12-31,100.3582
2015-01-31,100.2724
2015-02-28,100.2204
2015-03-31,100.1918
2015-04-30,100.1969
2015-05-31,100.1951
2015-06-30,100.1403
2015-07-31,100.0526
2015-08-31,99.95417
2015-09-30,99.86351
2015-10-31,99.81359
2015-11-30,99.78896
2015-12-31,99.7963
2016-01-31,99.83102
2016-02-29,99.8849
2016-03-31,99.96835
2016-04-30,100.0222
2016-05-31,100.0735
2016-06-30,100.1231
2016-07-31,100.1051
2016-08-31,100.065
2016-09-30,100.1343
2016-10-31,100.2465
2016-11-30,100.3911
2016-12-31,100.5257
2017-01-31,100.6491
2017-02-28,100.773
2017-03-31,100.8289
2017-04-30,100.8453
2017-05-31,100.9176
2017-06-30,101.0668
2017-07-31,101.1995
2017-08-31,101.3438
2017-09-30,101.4663
2017-10-31,101.5055
2017-11-30,101.5248
2017-12-31,101.5457
2018-01-31,101.5483
2018-02-28,101.5173
2018-03-31,101.4404
2018-04-30,101.4021
2018-05-31,101.4062
2018-06-30,101.4058
2018-07-31,101.3588
2018-08-31,101.2942
2018-09-30,101.1553
2018-10-31,101.0001
2018-11-30,100.8923
2018-12-31,100.734
2019-01-31,100.6049
2019-02-28,100.4823
2019-03-31,100.3965
2019-04-30,100.2795
2019-05-31,100.1435
2019-06-30,99.9659
2019-07-31,99.76266
2019-08-31,99.6021
2019-09-30,99.47988
2019-10-31,99.48016
2019-11-30,99.5469
2019-12-31,99.59813
2020-01-31,99.53661
2020-02-29,99.05672
2020-03-31,98.03169
2020-04-30,96.90698
2020-05-31,96.78809
2020-06-30,97.53659
2020-07-31,98.43296
2020-08-31,99.1096
2020-09-30,99.55812
2020-10-31,99.87382
2020-11-30,100.0331
2020-12-31,100.2464
2021-01-31,100.4691
2021-02-28,100.795
2021-03-31,101.1831
2021-04-30,101.4779
2021-05-31,101.7272
2021-06-30,101.9033
2021-07-31,101.9924
2021-08-31,102.0182
2021-09-30,102.0529
2021-10-31,102.0716
2021-11-30,102.0656
2021-12-31,101.9717
2022-01-31,101.8323
2022-02-28,101.6812
2022-03-31,101.4732
2022-04-30,101.2871
2022-05-31,101.1039
2022-06-30,100.8261
2022-07-31,100.509
2022-08-31,100.2147
