date,cape
1904-10-31,17.633197370821403
1904-11-30,18.07620022377007
1904-12-31,18.159679118703203
1905-01-31,18.459852032455853
1905-02-28,19.168996375829835
1905-03-31,19.831506074218424
1905-04-30,19.48292752471129
1905-05-31,18.62948750984513
1905-06-30,18.735862386183538
1905-07-31,19.205883309548053
1905-08-31,19.573308430803724
1905-09-30,19.74349241969778
1905-10-31,19.897394814329534
1905-11-30,19.443525693264984
1905-12-31,19.577960809096112
1906-01-31,20.132402260807893
1906-02-28,19.866752563675888
1906-03-31,19.25945302085411
1906-04-30,18.87620499611588
1906-05-31,18.054044460926395
1906-06-30,18.172666376497496
1906-07-31,18.19520014351375
1906-08-31,18.967251477549294
1906-09-30,19.20099368200136
1906-10-31,18.095380908869096
1906-11-30,18.141851654007958
1906-12-31,17.660003667768652
1907-01-31,17.218913853705978
1907-02-28,16.217071288766146
1907-03-31,14.687545255978645
1907-04-30,14.66970990560273
1907-05-31,13.79010715342424
1907-06-30,13.144269952673199
1907-07-31,13.585007357961837
1907-08-31,12.513471604446607
1907-09-30,12.328569657736622
1907-10-31,10.831840153050601
1907-11-30,10.59117755918978
1907-12-31,11.333306235811166
1908-01-31,11.902968628266972
1908-02-29,11.55484629514479
1908-03-31,11.984662664464292
1908-04-30,12.448889158370363
1908-05-31,13.078451355438341
1908-06-30,13.051684129229988
1908-07-31,13.3454871048344
1908-08-31,13.88423289520861
1908-09-30,13.701442268825113
1908-10-31,13.690810359178709
1908-11-30,14.435014091256262
1908-12-31,14.582482908962438
1909-01-31,14.76441845644136
1909-02-28,14.167157516701366
1909-03-31,14.33605838058622
1909-04-30,14.645198603086122
1909-05-31,14.953509786582782
1909-06-30,15.040444676080996
1909-07-31,15.231503240497684
1909-08-31,15.417580706254759
1909-09-30,15.25444643682118
1909-10-31,14.988845296121768
1909-11-30,14.74563117682459
1909-12-31,14.750638489265036
1910-01-31,14.547885040564148
1910-02-28,14.002037903032702
1910-03-31,14.050006965077824
1910-04-30,13.559883620820079
1910-05-31,13.568792287251453
1910-06-30,13.019657302315943
1910-07-31,12.34258125998522
1910-08-31,12.745055150886254
1910-09-30,12.937161101070847
1910-10-31,13.918866656445815
1910-11-30,14.164523175780351
1910-12-31,13.74147841778155
1911-01-31,14.049215181401202
1911-02-28,14.721488469928302
1911-03-31,14.370623221979534
1911-04-30,14.752935420329353
1911-05-31,15.047660591685043
1911-06-30,15.328355684719284
1911-07-31,15.08311057870027
1911-08-31,13.899790665654447
1911-09-30,12.997953983252437
1911-10-31,13.066472850619194
1911-11-30,13.727997586413094
1911-12-31,13.929258419578236
1912-01-31,13.794952631845822
1912-02-29,13.531634369686595
1912-03-31,13.639769173944167
1912-04-30,13.654392690553232
1912-05-31,13.645500685612367
1912-06-30,13.785417404502525
1912-07-31,13.802876645015786
1912-08-31,13.984761763426272
1912-09-30,13.92628500131587
1912-10-31,13.905092701178463
1912-11-30,13.74954101860653
1912-12-31,13.388999452579629
1913-01-31,13.148088791761557
1913-02-28,12.682960516236756
1913-03-31,12.443453515183657
1913-04-30,12.433067081795162
1913-05-31,12.221401061154124
1913-06-30,11.491962852761224
1913-07-31,11.534022795459858
1913-08-31,11.846840543564626
1913-09-30,11.843316826625973
1913-10-31,11.471490240312288
1913-11-30,11.072537845038006
1913-12-31,11.17404087003679
1914-01-31,11.636092105046133
1914-02-28,11.910233879798238
1914-03-31,11.685526018836827
1914-04-30,11.522662536200235
1914-05-31,11.47900869416448
1914-06-30,11.428715168831886
1914-07-31,10.694345183040136
1914-08-31,10.492046265076436
1914-09-30,10.500497301802131
1914-10-31,10.61275946612622
1914-11-30,10.51691764299212
1914-12-31,10.172217991997861
1915-01-31,10.359834197757266
1915-02-28,10.32978620966069
1915-03-31,10.70701318868281
1915-04-30,11.401123789000183
1915-05-31,11.02692987647131
1915-06-30,11.154262189096338
1915-07-31,11.1136293939496
1915-08-31,11.584831641604596
1915-09-30,12.011570757825888
1915-10-31,12.549076133220147
1915-11-30,12.857714453559307
1915-12-31,12.878444602185981
1916-01-31,12.543563692516168
1916-02-29,12.354652326458789
1916-03-31,12.177052795748478
1916-04-30,11.906481776593179
1916-05-31,12.026256671905157
1916-06-30,11.995961222946578
1916-07-31,11.791165275254547
1916-08-31,11.73208263887416
1916-09-30,11.94455241750447
1916-10-31,12.045741763370797
1916-11-30,12.053230403230497
1916-12-31,11.41355918884949
1917-01-31,10.992361427383424
1917-02-28,10.063187738735728
1917-03-31,10.327157080107876
1917-04-30,9.644531197281234
1917-05-31,9.138988813373578
1917-06-30,9.148220259539583
1917-07-31,9.003472377228805
1917-08-31,8.57268046675378
1917-09-30,7.950823264217066
1917-10-31,7.387133711108147
1917-11-30,6.753013604774308
1917-12-31,6.412593898119818
1918-01-31,6.640646028655352
1918-02-28,6.784343551630282
1918-03-31,6.686355760455894
1918-04-30,6.520727730547159
1918-05-31,6.5823632316210805
1918-06-30,6.496291318641057
1918-07-31,6.371324093848989
1918-08-31,6.303073760914594
1918-09-30,6.149170562431681
1918-10-31,6.290515321191322
1918-11-30,6.3333274953541565
1918-12-31,6.134580411283435
1919-01-31,6.098467639950106
1919-02-28,6.2396927713649815
1919-03-31,6.3560740048691455
1919-04-30,6.456139555819275
1919-05-31,6.829002261482033
1919-06-30,7.021615214784134
1919-07-31,7.052837165446312
1919-08-31,6.4791311017052795
1919-09-30,6.558481672061264
1919-10-31,6.794704199949302
1919-11-30,6.467022574133132
1919-12-31,6.160717033799176
1920-01-31,5.9896677711394375
1920-02-29,5.455347649907771
1920-03-31,5.798822727557157
1920-04-30,5.599858725506185
1920-05-31,5.188950462047495
1920-06-30,5.043639680451618
1920-07-31,5.080592919540795
1920-08-31,5.0207010779228565
1920-09-30,5.297162770108058
1920-10-31,5.351177393424155
1920-11-30,5.126407930947925
1920-12-31,4.784241045083248
1921-01-31,5.122184146887374
1921-02-28,5.274857191205047
1921-03-31,5.192348158684177
1921-04-30,5.297085922739674
1921-05-31,5.609469225330775
1921-06-30,5.21611096098932
1921-07-31,5.197779361905469
1921-08-31,5.16129482321573
1921-09-30,5.3775244254582555
1921-10-31,5.4792576780533455
1921-11-30,5.83819699320089
1921-12-31,6.11415884941727
1922-01-31,6.287087290347128
1922-02-28,6.4613058726969825
1922-03-31,6.82138724903604
1922-04-30,7.273253390209859
1922-05-31,7.593467258919378
1922-06-30,7.557987351755127
1922-07-31,7.602095045774032
1922-08-31,8.020030689895775
1922-09-30,8.265083002284303
1922-10-31,8.432151998761896
1922-11-30,7.998253772269837
1922-12-31,7.964679864939999
1923-01-31,8.154200483069156
1923-02-28,8.533360579065967
1923-03-31,8.700737500978533
1923-04-30,8.372809668463814
1923-05-31,8.00049786759821
1923-06-30,7.671825282673079
1923-07-31,7.34598511949065
1923-08-31,7.44178317421737
1923-09-30,7.458183867189794
1923-10-31,7.317400395621481
1923-11-30,7.546327911916236
1923-12-31,7.809739144938745
1924-01-31,8.07224944603738
1924-02-29,8.16206622085036
1924-03-31,8.058077044116095
1924-04-30,7.923620348327982
1924-05-31,7.899698330665295
1924-06-30,8.051676946396649
1924-07-31,8.377712139971836
1924-08-31,8.717418308548332
1924-09-30,8.581670375209054
1924-10-31,8.419491035872428
1924-11-30,8.888327361250973
1924-12-31,9.310639680416376
1925-01-31,9.692618852254997
1925-02-28,9.830804722819575
1925-03-31,9.518537538810032
1925-04-30,9.476566787903069
1925-05-31,9.72900769402133
1925-06-30,9.796386180450611
1925-07-31,9.963993891787798
1925-08-31,10.11091845848894
1925-09-30,10.3592476113485
1925-10-31,10.718495997022927
1925-11-30,10.88631744030793
1925-12-31,11.14736523913725
1926-01-31,11.340966188506233
1926-02-28,11.389435672748007
1926-03-31,10.712352062732482
1926-04-30,10.395587685954728
1926-05-31,10.575158463806096
1926-06-30,11.197979740229954
1926-07-31,11.869694058481278
1926-08-31,12.488808219521875
1926-09-30,12.692614823344718
1926-10-31,12.426517521583348
1926-11-30,12.615251212344482
