date,global_cci
2009-12-31,99.36937
2010-01-31,99.44066
2010-02-28,99.4616
2010-03-31,99.46166
2010-04-30,99.44292
2010-05-31,99.39671
2010-06-30,99.34997
2010-07-31,99.29697
2010-08-31,99.30983
2010-09-30,99.33201
2010-10-31,99.36983
2010-11-30,99.44331
2010-12-31,99.47446
2011-01-31,99.43518
2011-02-28,99.33208
2011-03-31,99.11655
2011-04-30,98.98994
2011-05-31,98.97977
2011-06-30,98.89919
2011-07-31,98.67774
2011-08-31,98.41832
2011-09-30,98.31744
2011-10-31,98.33152
2011-11-30,98.45496
2011-12-31,98.62504
2012-01-31,98.81545
2012-02-29,98.95318
2012-03-31,99.01622
2012-04-30,99.01382
2012-05-31,98.9797
2012-06-30,98.89365
2012-07-31,98.84972
2012-08-31,98.85349
2012-09-30,98.89298
2012-10-31,98.94585
2012-11-30,98.95162
2012-12-31,98.90475
2013-01-31,98.96958
2013-02-28,99.08215
2013-03-31,99.19147
2013-04-30,99.29899
2013-05-31,99.44042
2013-06-30,99.56644
2013-07-31,99.67037
2013-08-31,99.68777
2013-09-30,99.6397
2013-10-31,99.56883
2013-11-30,99.5918
2013-12-31,99.67003
2014-01-31,99.72048
2014-02-28,99.76649
2014-03-31,99.85464
2014-04-30,99.96266
2014-05-31,100.0134
2014-06-30,100.0253
2014-07-31,100.005
2014-08-31,99.99135
2014-09-30,100.0033
2014-10-31,100.0511
2014-11-30,100.1489
2014-12-31,100.3227
2015-01-31,100.5184
2015-02-28,100.6506
2015-03-31,100.7106
2015-04-30,100.7108
2015-05-31,100.6467
2015-06-30,100.5979
2015-07-31,100.4943
2015-08-31,100.4123
2015-09-30,100.391
2015-10-31,100.4975
2015-11-30,100.6291
2015-12-31,100.6699
2016-01-31,100.6014
2016-02-29,100.495
2016-03-31,100.4333
2016-04-30,100.4359
2016-05-31,100.4825
2016-06-30,100.4708
2016-07-31,100.3953
2016-08-31,100.3827
2016-09-30,100.4176
2016-10-31,100.4503
2016-11-30,100.5142
2016-12-31,100.5654
2017-01-31,100.5604
2017-02-28,100.5872
2017-03-31,100.6883
2017-04-30,100.7947
2017-05-31,100.8637
2017-06-30,100.8871
2017-07-31,100.9174
2017-08-31,100.9783
2017-09-30,101.0477
2017-10-31,101.1275
2017-11-30,101.149
2017-12-31,101.1411
2018-01-31,101.1417
2018-02-28,101.1615
2018-03-31,101.1738
2018-04-30,101.1631
2018-05-31,101.1572
2018-06-30,101.1711
2018-07-31,101.1909
2018-08-31,101.143
2018-09-30,101.0671
2018-10-31,100.9722
2018-11-30,100.8655
2018-12-31,100.7876
2019-01-31,100.7623
2019-02-28,100.8282
2019-03-31,100.9089
2019-04-30,100.9274
2019-05-31,100.8962
2019-06-30,100.8005
2019-07-31,100.6772
2019-08-31,100.5361
2019-09-30,100.5173
2019-10-31,100.5868
2019-11-30,100.7181
2019-12-31,100.8129
2020-01-31,100.743
2020-02-29,100.2699
2020-03-31,99.25893
2020-04-30,98.18349
2020-05-31,97.85287
2020-06-30,98.05293
2020-07-31,98.32198
2020-08-31,98.56694
2020-09-30,98.77358
2020-10-31,98.85211
2020-11-30,98.86659
2020-12-31,98.97961
2021-01-31,99.11575
2021-02-28,99.38237
2021-03-31,99.78015
2021-04-30,100.0979
2021-05-31,100.3294
2021-06-30,100.4685
2021-07-31,100.3713
2021-08-31,100.1407
2021-09-30,99.97858
2021-10-31,99.79657
2021-11-30,99.5753
2021-12-31,99.34045
2022-01-31,99.01118
2022-02-28,98.55233
2022-03-31,98.01513
2022-04-30,97.6346
2022-05-31,97.27305
2022-06-30,96.90731
2022-07-31,96.71421
2022-08-31,96.72236
2022-09-30,96.74238
2022-10-31,96.83271
2022-11-30,97.00181
2022-12-31,97.25992
2023-01-31,97.55617
2023-02-28,97.8094
2023-03-31,97.98986
2023-04-30,98.2042
2023-05-31,98.38744
2023-06-30,98.55771
2023-07-31,98.63435
2023-08-31,98.53843
2023-09-30,98.38509
2023-10-31,98.28622
2023-11-30,98.38999
2023-12-31,98.7036
2024-01-31,99.03584
2024-02-29,99.21766
2024-03-31,99.28077
2024-04-30,99.21579
2024-05-31,99.08114
2024-06-30,99.00468
2024-07-31,98.98451
2024-08-31,99.01632
2024-09-30,99.08279
2024-10-31,99.14999
2024-11-30,99.15916
2024-12-31,99.09331
2025-01-31,98.93068
2025-02-28,98.67017
2025-03-31,98.38283
2025-04-30,98.209
2025-05-31,98.28912
2025-06-30,98.48375
2025-07-31,98.60102
2025-08-31,98.60465
2025-09-30,98.55663
2025-10-31,98.52116
2025-11-30,98.52023
2025-12-31,98.57549
2026-01-31,98.6299
2026-02-28,98.53798
2026-03-31,98.22253
2026-04-30,97.84749
2026-05-31,97.55246
