market,scheme,n_ok,boundary_frac,degenerate_frac,c1_lo,c1_hi,c1_med,c2_lo,c2_hi,c2_med,MR_lo,MR_hi,MR_med,RW_lo,RW_hi,RW_med,EXP_lo,EXP_hi,EXP_med,bMR_lo,bMR_hi,bMR_med,bRW_lo,bRW_hi,bRW_med,bEXP_lo,bEXP_hi,bEXP_med
ta125,wild,1000,0.0,0.001,96.7757,99.2621,97.8726,100.6516,102.1892,101.6755,0.7444,27.5434,6.2035,53.598,94.5409,88.3375,1.9541,40.4467,5.4591,-1.5002,1.5258,0.0276,-0.0074,0.0079,0.0001,-0.4986,0.2447,-0.2028
ta125,block12,1000,0.002,0.002,97.0222,99.8653,98.0009,100.232,102.1723,101.814,1.4888,33.505,6.6998,43.6663,95.7816,87.7171,0.9926,48.8958,4.7146,-1.3332,0.1141,-0.0192,-0.0079,0.0092,0.001,-1.8481,0.0084,-0.4346
ta125,block24,1000,0.024,0.0,97.0288,99.9014,97.832,100.2048,102.1549,101.7081,1.4888,32.0161,6.4516,40.1923,95.7816,87.3449,1.2407,51.1228,5.4591,-1.3321,0.0974,-0.0273,-0.0103,0.0068,-0.0004,-1.3507,0.0141,-0.3495
ta125,block36,1000,0.028,0.004,97.0368,99.9067,97.8373,100.1208,102.1411,101.6971,1.4888,29.33,6.4516,35.2171,95.7816,86.8486,0.9926,54.1191,5.4591,-1.3321,0.0922,-0.0312,-0.0162,0.0067,-0.0017,-1.619,0.0175,-0.2144
ta35,wild,1000,0.001,0.001,96.7757,99.3353,97.7995,100.4322,102.1874,101.6755,0.7444,29.7767,5.4591,43.3995,94.7891,88.3375,1.9851,50.1241,5.4591,-1.4646,1.5249,0.0314,-0.0069,0.0074,0.0001,-0.4926,0.1462,-0.1961
ta35,block12,1000,0.012,0.001,97.0097,99.6273,97.8127,100.254,102.063,101.7145,1.2407,31.2841,5.7072,48.1141,96.0298,88.0893,0.9926,47.1712,4.9628,-1.5406,0.1143,-0.0359,-0.0079,0.008,0.0003,-1.4219,0.0077,-0.3662
ta35,block24,1000,0.02,0.004,97.0115,99.9592,97.8103,100.1058,102.072,101.6933,1.4826,36.495,5.7072,39.4417,95.7816,87.3449,0.9926,52.4256,5.4591,-1.5013,0.109,-0.0464,-0.0114,0.0072,-0.0012,-1.612,0.0076,-0.3277
ta35,block36,1000,0.034,0.001,97.0115,99.7251,97.7792,99.862,102.0679,101.6922,1.4888,31.0236,4.7146,30.9615,96.0298,87.0968,0.9926,65.7568,5.4591,-1.4918,0.0699,-0.0796,-0.0119,0.0052,-0.002,-1.7073,0.0101,-0.2103
hangseng,wild,1000,0.0,0.0,96.8856,99.2322,98.3078,101.0793,102.0767,102.0056,0.9174,25.4587,8.2569,60.5447,96.5596,88.7615,2.2936,15.6594,2.5229,-0.9918,0.6365,-0.1652,-0.0113,0.0108,-0.0004,-1.1964,0.0141,-0.8748
hangseng,block12,1000,0.015,0.002,96.8464,100.0112,98.029,99.0717,102.0667,101.671,0.9174,42.4427,7.3394,22.2362,95.6422,84.1743,1.3761,75.4759,5.7339,-0.9837,0.4117,-0.1565,-0.0813,-0.002,-0.0147,-0.9715,0.0017,-0.2919
hangseng,block24,1000,0.025,0.007,96.8472,100.0137,98.4285,99.2208,102.0652,101.6582,1.1468,37.1732,8.0275,24.5413,95.6422,83.4862,1.1468,73.1651,5.7339,-0.9072,0.3972,-0.1795,-0.0646,-0.0028,-0.0159,-0.9236,0.017,-0.2795
hangseng,block36,1000,0.028,0.003,96.844,100.0373,98.0102,99.069,102.068,101.6871,1.1468,38.7672,7.1101,23.383,95.6422,84.8624,1.1468,73.8704,5.5046,-0.8946,0.4031,-0.182,-0.1169,-0.0027,-0.0173,-0.9563,0.0321,-0.4148
twse,wild,1000,0.0,0.0,96.9467,98.5586,97.0233,100.8567,102.2367,101.3933,1.4451,15.0939,1.7341,53.7572,97.1098,86.7052,1.1561,27.1676,10.9827,-1.2286,0.0668,-0.7488,-0.0162,0.0175,0.0012,-1.4312,1.2304,-0.2096
twse,block12,1000,0.005,0.0,97.005,98.7634,97.8044,100.094,102.2603,101.4455,1.1561,22.3121,4.9133,38.7283,96.2428,87.2832,1.1561,55.5058,6.3584,-1.012,0.1215,-0.1544,-0.0184,0.0175,0.0017,-1.5941,0.3524,-0.1877
twse,block24,1000,0.015,0.002,97.0061,98.5878,97.7812,99.7821,102.2715,101.4634,1.1561,16.4957,4.3353,33.2298,96.8208,89.0173,1.1561,62.7168,4.6243,-0.9142,0.116,-0.2839,-0.026,0.0169,-0.0001,-1.6691,0.268,-0.172
twse,block36,1000,0.023,0.003,97.0076,98.6079,97.7882,99.83,102.2664,101.4336,1.4379,15.9032,4.3353,28.3092,96.8208,88.1503,0.8671,64.7543,5.4913,-0.9142,0.1079,-0.2804,-0.0398,0.0164,-0.0008,-1.4312,0.2662,-0.0634
smi,wild,1000,0.0,0.0,97.0705,98.2828,97.2844,101.1354,101.7112,101.2067,1.4085,7.9812,2.8169,70.1819,92.0188,86.385,5.1174,13.8498,10.7981,-0.0018,0.2029,0.0687,-0.0068,0.0075,0.0001,-0.3975,-0.0451,-0.2205
smi,block12,1000,0.019,0.001,96.9268,99.5378,97.3379,99.1797,102.2778,101.2362,0.939,33.5739,3.7559,21.5845,95.5399,83.0986,0.939,75.5986,11.0329,-1.1062,0.3551,0.0297,-0.0198,0.001,-0.0087,-1.4012,-0.0071,-0.2184
smi,block24,1000,0.023,0.001,96.94,99.7018,97.3351,99.225,102.2718,101.2309,0.939,33.5681,3.7559,20.6573,96.0094,81.4554,0.939,76.0681,12.2066,-1.114,0.3545,-0.0156,-0.0218,0.0026,-0.0097,-1.4012,-0.0011,-0.2061
smi,block36,1000,0.035,0.005,96.9309,99.7614,97.3384,99.2052,102.2551,101.226,1.1737,31.7136,3.5211,22.993,95.0704,81.6901,0.7042,74.196,13.1455,-1.106,0.3545,-0.0208,-0.0271,0.0041,-0.0104,-1.4012,-0.0033,-0.2073
ibex35,wild,1000,0.0,0.0,97.1284,99.2697,97.1284,101.1157,102.2232,101.1895,2.0305,27.9188,2.0305,59.3909,96.7005,86.0406,1.269,15.2284,11.9289,-1.0533,0.0643,-0.7301,-0.0152,0.0143,-0.0006,-1.3389,0.9364,-0.1741
ibex35,block12,1000,0.01,0.003,96.9309,100.0491,97.5802,99.1878,102.274,101.188,1.0152,37.5635,5.3299,23.0964,95.6853,79.6954,1.0152,73.3629,11.0406,-0.8849,0.0178,-0.5219,-0.0441,0.0035,-0.0128,-3.0867,-0.0143,-0.2178
ibex35,block24,1000,0.031,0.003,96.9282,100.0507,97.5826,99.2515,102.2841,101.1732,1.269,35.8058,6.0914,20.0444,94.9239,75.8883,1.0152,76.9036,12.6904,-0.846,-0.0053,-0.5205,-0.0703,0.0057,-0.0178,-3.0867,-0.011,-0.1748
ibex35,block36,1000,0.028,0.012,96.9354,100.2883,97.5835,99.376,102.2874,101.1727,1.5228,34.2703,6.8528,24.1053,94.6701,74.8731,1.0089,73.1028,12.9442,-0.8289,-0.0312,-0.5219,-0.0889,-0.0018,-0.0222,-3.0867,-0.0033,-0.1671
jkse,wild,1000,0.0,0.0,97.3022,99.2222,97.8,101.2133,101.8533,101.2844,2.7714,25.4042,5.0808,63.9723,92.8406,85.6813,3.4642,10.6236,9.9307,-0.0641,0.0561,0.0141,-0.0058,0.0057,0.0001,-0.4819,-0.0859,-0.3019
jkse,block12,1000,0.004,0.001,97.5266,99.6711,98.0238,101.1478,102.2102,101.3533,1.1547,39.2841,9.2379,50.5716,94.0069,79.4457,1.8476,19.1744,8.545,-1.1598,0.1475,-0.0184,-0.0079,0.0061,-0.001,-0.7187,0.1809,-0.3112
jkse,block24,1000,0.017,0.008,97.5212,100.1146,97.8378,100.7572,102.2233,101.3592,1.3857,45.5196,8.776,45.7217,94.9249,78.291,0.9238,28.8857,9.6998,-1.1519,0.0695,-0.017,-0.0093,0.0052,-0.0021,-0.8701,0.1853,-0.2891
jkse,block36,1000,0.031,0.02,97.5225,100.197,97.8327,100.1856,102.2274,101.3525,1.3857,50.8487,8.776,38.5566,95.1559,76.2125,0.6928,43.649,10.3926,-1.1494,0.0614,-0.0165,-0.0098,0.0054,-0.0028,-0.9026,0.1853,-0.2933
aex,wild,1000,0.0,0.0,96.7757,98.8233,97.7995,100.2128,102.2605,101.3829,0.7444,16.8734,5.4591,40.1923,96.0298,85.1117,0.7444,55.5831,9.9256,-1.1474,1.3267,0.053,-0.01,0.0093,-0.0004,-1.3273,1.1121,-0.1262
aex,block12,1000,0.027,0.001,97.0046,99.3111,97.789,99.1033,102.1866,101.3386,0.9926,22.8288,4.2184,20.3474,95.5335,83.3747,1.2407,76.433,10.2978,-1.5069,0.1591,-0.035,-0.0286,0.0099,-0.013,-1.5435,-0.0183,-0.1692
aex,block24,1000,0.034,0.004,97.0091,99.0211,97.7823,99.4107,102.1889,101.2997,0.9926,14.6526,4.2184,18.8586,95.5335,82.6303,1.4888,77.1712,11.5385,-1.4992,0.1734,-0.1253,-0.0368,0.0139,-0.0129,-1.3977,-0.0137,-0.1469
aex,block36,1000,0.046,0.01,97.009,99.0201,97.7923,99.6699,102.189,101.2859,1.2345,13.1514,4.4665,17.8598,95.0434,80.1489,0.9926,78.6787,13.8958,-1.3594,0.1393,-0.1467,-0.0545,0.0163,-0.0156,-1.7318,-0.0097,-0.1255
merval,wild,1000,0.0,0.001,96.7538,99.118,97.669,99.9531,101.4821,101.3296,0.8451,28.169,4.7887,36.338,88.4507,83.0986,9.0141,58.0563,11.831,-0.5954,0.5114,0.0341,-0.0077,0.0053,-0.0008,-0.3446,0.0169,-0.2016
merval,block12,1000,0.011,0.002,96.7554,99.2065,97.8293,99.0226,101.4294,101.2134,0.8451,36.0563,7.6056,26.7606,89.8732,72.3944,3.9437,69.8803,15.7746,-1.1104,0.0891,0.0139,-0.008,0.009,0.0012,-0.6684,0.0228,-0.1912
merval,block24,1000,0.013,0.001,96.7582,99.202,98.2579,99.1626,101.3198,101.2069,1.1197,38.8803,8.3099,29.5634,90.9859,70.7042,2.8169,67.9014,16.0563,-1.1199,0.0862,0.0172,-0.0089,0.0089,0.0011,-0.7772,0.0396,-0.2258
merval,block36,1000,0.02,0.001,96.7583,99.2067,98.3676,98.9235,101.2995,101.1942,1.4085,39.4366,9.2958,23.662,92.1197,70.1408,1.6901,72.9648,16.338,-1.1087,0.057,0.0184,-0.0119,0.0117,0.0008,-0.9063,0.0382,-0.2086
set,wild,1000,0.0,0.001,97.1276,99.2686,97.7393,101.1802,102.1742,101.3331,2.2663,30.3116,5.0992,57.7904,92.932,83.2861,2.2663,13.3144,11.898,-0.0427,0.0994,0.0549,-0.015,0.0157,-0.0006,-0.5241,-0.0386,-0.238
set,block12,1000,0.003,0.045,97.5282,101.3229,98.3264,101.0463,103.2901,101.2463,1.4164,89.8159,10.4816,10.1841,94.6246,75.6374,0.0,28.8952,10.1983,-1.0911,0.1409,-0.0229,-0.0724,-0.0005,-0.0156,-0.7531,25.8655,-0.2061
set,block24,1000,0.033,0.054,97.0188,100.4684,97.8394,99.5135,102.4558,101.2451,0.8499,64.8938,8.4986,13.0241,95.7507,77.9037,0.0,64.6388,9.3484,-1.0922,0.1545,-0.0197,-0.0419,-0.0005,-0.0154,-0.8844,25.8655,-0.1975
set,block36,1000,0.066,0.073,96.0798,100.4187,97.819,98.155,102.3806,101.2329,0.0,56.983,7.6487,12.4646,95.7578,78.0453,0.0,85.8357,10.1983,-1.0914,0.1339,-0.0234,-0.0529,0.0031,-0.0161,-1.5213,25.8655,-0.1881
hscei,wild,1000,0.001,0.004,96.833,99.122,97.8668,101.1157,101.7802,101.3372,1.0152,25.6345,6.3452,63.198,90.8629,83.2487,4.5685,15.2284,10.4061,-1.4959,0.3356,-0.2971,-0.017,0.0194,0.0004,-0.3062,0.0246,-0.1645
hscei,block12,1000,0.026,0.042,96.8509,101.3058,97.6535,100.293,103.2636,101.2645,1.0152,86.5482,5.3299,13.4518,95.4378,81.7259,0.0,44.835,9.8985,-1.445,0.3629,-0.3484,-0.0514,0.0035,-0.018,-1.0546,1.7867,-0.1648
hscei,block24,1000,0.035,0.052,96.8511,101.3055,97.6579,99.7872,103.2649,101.2629,1.0152,85.0317,5.5838,14.9683,95.6853,81.2183,0.0,53.5596,10.9137,-1.4412,0.3566,-0.4868,-0.0756,-0.0037,-0.0192,-0.7398,1.7867,-0.138
hscei,block36,1000,0.041,0.044,96.8532,101.3019,97.6578,99.6762,103.2634,101.2543,1.5228,80.5013,5.5838,17.7665,95.4315,79.9492,0.0,62.4492,11.9289,-1.4252,0.3245,-0.524,-0.0748,-0.0039,-0.0195,-1.0546,0.2894,-0.1386
lq45,wild,1000,0.0,0.0,97.1954,99.1861,97.8079,101.2533,101.7893,101.3299,2.5641,29.3447,6.2678,60.3917,89.4658,82.906,4.8433,12.5356,11.9658,-0.0933,0.0721,0.0115,-0.0111,0.0122,0.0002,-0.5678,-0.1936,-0.3848
lq45,block12,1000,0.011,0.028,97.5154,100.2719,97.8355,100.6145,102.3076,101.3252,1.4245,67.094,9.8291,16.1966,91.7379,75.7835,0.0,36.7593,10.8262,-1.1975,0.1507,-0.0375,-0.0246,0.0086,-0.0073,-0.8667,0.0619,-0.3605
lq45,block24,1000,0.014,0.035,97.3198,100.2451,97.8169,99.8774,102.2432,101.3292,1.4245,64.2165,8.8319,15.933,94.594,74.9288,0.0,56.4672,10.2564,-1.193,0.1198,-0.0346,-0.0261,0.0155,-0.0073,-0.6121,0.089,-0.3118
lq45,block36,1000,0.042,0.048,96.098,100.2387,97.7999,98.0785,102.2333,101.3127,0.0,54.7151,7.9772,13.3832,94.594,72.2222,0.8547,84.6225,11.6809,-1.1927,0.108,-0.0406,-0.0446,0.0122,-0.0074,-0.7048,0.0793,-0.2445
ipc,wild,1000,0.0,0.001,97.1,99.9889,99.1944,101.1444,102.2278,102.0111,1.6908,42.029,25.8454,55.0725,95.8937,71.4976,1.2077,13.0435,2.657,-0.2648,0.2064,-0.0275,-0.0067,0.0071,-0.0003,-2.1916,0.0154,-0.8535
ipc,block12,1000,0.004,0.005,96.9377,100.0712,97.8445,100.8687,102.092,101.7061,1.2077,45.9058,7.0048,46.3587,95.4167,82.1256,1.2077,23.913,5.5556,-1.0848,0.1771,-0.0246,-0.0109,0.0037,-0.0033,-1.2708,0.0106,-0.6008
ipc,block24,1000,0.016,0.017,96.9286,100.0801,97.817,100.8521,102.1304,101.7203,1.2077,49.2814,4.8309,37.5966,95.6522,87.1981,0.7246,23.9191,5.0725,-1.0697,0.1531,-0.0237,-0.011,0.0034,-0.0043,-1.4378,0.0153,-0.7736
ipc,block36,1000,0.041,0.007,96.9258,100.0301,97.7712,100.2676,102.0827,102.0019,1.2077,36.2379,4.1063,40.0362,96.1353,89.1304,0.9662,42.029,4.8309,-1.0765,0.154,-0.0872,-0.0143,0.0014,-0.0048,-1.4317,0.0198,-0.8204
