market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
sti,39,98.5211,101.7211,3.3947,-0.042583,-0.527116
sti,40,97.0278,101.1522,5.3051,-0.708014,-0.041142
sti,41,97.0278,101.7922,1.6603,-1.478781,-0.118745
sti,42,99.09,101.3656,3.322,-0.027103,-0.329202
sti,43,97.0278,99.0189,1.9821,-1.167702,-0.003958
sti,44,99.0189,102.0056,4.0659,-0.019267,-0.684164
sti,45,96.9567,100.37,2.7341,-0.986818,-0.037475
sti,46,98.3789,102.2189,2.2536,0.020809,-0.162521
sti,47,98.45,101.7211,2.8872,-0.032731,-0.202434
sti,48,98.45,101.4367,3.3491,-0.060068,-0.134067
sti,49,99.09,101.2944,2.8732,0.000267,-0.11528
athex,0,98.3195,100.7761,3.1923,-0.040605,-0.090952
athex,1,96.7841,102.0043,3.073,-1.403974,-0.634895
athex,2,97.7054,101.6205,6.6737,-0.160306,-0.553721
athex,3,99.3942,101.9276,4.9676,-0.067722,-0.272455
athex,4,98.3963,100.3922,3.5961,-0.031342,-0.01816
athex,5,97.7054,101.8508,4.3956,-0.569045,-0.347735
athex,6,98.8569,101.0831,3.4404,0.017419,-0.142082
athex,7,99.6245,101.6205,3.8176,-0.029405,-0.418091
athex,8,96.7841,101.8508,3.6515,-0.898644,-0.305066
athex,9,97.6286,100.0084,4.9543,-0.035826,-0.102368
athex,10,97.6286,101.6973,3.8634,-0.094556,-0.516032
athex,11,96.9377,101.0064,4.1825,-0.395792,-0.069932
athex,12,99.1639,101.8508,2.5149,-0.018684,-0.45682
athex,13,98.8569,101.0064,5.4274,-0.121143,-0.02583
athex,14,101.2367,103.2326,3.6024,-0.033968,0.0
athex,15,97.0144,101.467,4.3423,-1.431445,-0.297698
athex,16,98.7801,102.0043,4.9386,0.008394,-0.792281
athex,17,101.6205,103.6165,6.3123,-0.02025,0.0
athex,18,96.8609,99.6245,4.4318,-0.87708,-0.061347
athex,19,98.3195,101.0064,4.7061,-0.10191,-0.016035
athex,20,96.7841,101.774,3.7285,0.164182,-0.632321
