market,sim,c1,c2,rss_impr_pct,b_MR,b_EX
smi,34,98.6394,101.278,1.5852,-0.011884,-0.088977
smi,35,97.7123,101.2067,3.2546,0.04126,-0.292222
smi,36,99.4238,102.1337,2.4858,0.012464,-0.285891
smi,37,99.2812,102.0624,3.1262,-0.01308,-0.430777
smi,38,97.0705,99.2099,2.9726,-0.629637,-0.032533
smi,39,96.9279,102.1337,2.9614,-0.622854,-0.093279
smi,40,96.9279,102.2051,3.0692,-1.263422,-0.33893
smi,41,98.4255,100.9214,2.0125,0.012216,0.005535
smi,42,96.7853,102.2051,4.2094,-2.17811,-1.099861
smi,43,99.0673,101.7059,3.3819,-0.057778,-0.424131
smi,44,98.996,101.7772,4.1032,0.013896,-0.856171
smi,45,99.1386,101.8485,2.6159,-0.010527,-0.080602
smi,46,97.9976,101.7772,4.2348,0.056521,-0.561074
smi,47,96.8566,99.8517,5.193,-0.136138,-0.040249
smi,48,97.8549,101.4206,4.654,0.021358,-0.515161
smi,49,97.1418,101.7772,4.0458,-0.086746,-0.705796
aex,0,99.189,102.2605,3.7646,-0.04329,-1.435678
aex,1,99.5546,102.2605,3.0342,-0.007411,0.243393
aex,2,96.9219,101.7486,3.8981,-1.562946,-0.322139
aex,3,97.1413,101.2367,1.2078,0.051935,-0.072782
aex,4,97.2876,100.871,5.2653,0.029047,-0.011599
aex,5,99.2621,101.2367,4.5058,0.01315,-0.460898
aex,6,100.1397,102.1142,4.4015,-0.01934,-1.397176
aex,7,98.0189,101.0904,1.7743,-0.02246,0.008373
aex,8,100.0666,102.1874,3.2341,-0.023404,-0.402567
aex,9,99.0427,101.6023,2.6764,-0.043345,0.10715
aex,10,97.1413,102.0411,2.1581,-0.145644,-0.873696
aex,11,98.8965,101.968,3.3302,-0.013908,-0.167566
aex,12,97.7264,100.7247,4.1142,-0.386232,-0.030785
aex,13,96.9219,100.5054,3.2334,-1.257842,-0.028333
aex,14,96.9219,101.6023,3.6312,-1.905421,-0.009963
aex,15,98.9696,101.3098,2.7159,0.005144,-0.079963
aex,16,97.3607,100.5054,1.5364,-0.041502,-0.002118
aex,17,99.7009,101.8948,1.7803,-0.00725,-0.575633
aex,18,99.189,101.6023,5.0326,-0.00057,-0.803338
aex,19,97.0682,101.1635,2.2832,-0.882495,-0.038388
aex,20,97.2144,101.2367,2.3003,-0.036401,-0.158396
aex,21,96.8488,101.8217,2.3833,0.501964,-0.342589
aex,22,99.4815,101.7486,4.5402,-0.008342,-0.413439
aex,23,98.5308,100.7979,3.0011,-0.015676,-0.006062
aex,24,98.2383,101.7486,3.288,0.019015,-0.378128
